year,Typhoon,municipality,province,windspeed,rainfall24,rainfall6,rainfallaverage,area,yield,areayieldrataio,percentageofarea,darea,yielda,fgprice,dctrice
2018,Mangkhut,Aborlan,Palawan,0,1.535972222,0.383993056,0.959982639,2870,3.37,851.6320475,0.247070148,709.0913239,0.832626398,20.79,11135504
2018,Mangkhut,Abra de Ilog,Occidental Mindoro,0,2.141071429,0.535267857,1.338169643,491,4.36,112.6146789,0.244428051,120.0141731,1.065706303,20.79,2412279.37
2018,Mangkhut,Abucay,Bataan,7.116629346,5.809375,1.45234375,3.630859375,1330.88,4.42,301.1040724,0.312983279,416.5431867,1.383386094,20.79,10868283.84
2018,Mangkhut,Abulug,Cagayan,67.08946747,3.908854167,0.977213542,2.443033854,5767,4.65,1240.215054,0.567851616,3274.800267,2.640510013,20.79,163091064.2
2018,Mangkhut,Abuyog,Leyte,0,0.80546875,0.201367188,0.503417969,4710,4.14,1137.681159,0.130471748,614.5219341,0.540153038,20.79,6260539.25
2018,Mangkhut,Adams,Ilocos Norte,63.23124834,2.7875,0.696875,1.7421875,38,4.79,7.933194154,0.488810802,18.57481048,2.341403742,20.79,820272.65
2018,Mangkhut,Agdangan,Quezon,7.794856102,2.327083333,0.581770833,1.454427083,100,3,33.33333333,0.141844937,14.18449366,0.42553481,20.79,113843.03
2018,Mangkhut,Aglipay,Quirino,18.39692608,4.311458333,1.077864583,2.694661458,954.88,3.96,241.1313131,0.473722122,452.3477799,1.875939603,20.79,16004748.2
2018,Mangkhut,Agno,Pangasinan,11.83423564,3.377083333,0.844270833,2.110677083,498,4.11,121.1678832,0.497249935,247.6304678,2.043697235,20.79,9545049.09
2018,Mangkhut,Agoncillo,Batangas,6.040193801,2.034375,0.50859375,1.271484375,0,0,0,0.133187157,0,0,20.79,0
2018,Mangkhut,Agoo,La Union,12.63308718,3.857291667,0.964322917,2.410807292,1043.88,5.44,191.8897059,0.21914779,228.7639949,1.192163977,20.79,5143765.93
2018,Mangkhut,Aguilar,Pangasinan,9.879434297,3.157083333,0.789270833,1.973177083,1715,4.39,390.6605923,0.38111936,653.6197031,1.673113992,20.79,20625676.29
2018,Mangkhut,Aguinaldo,Ifugao,22.71824758,2.93125,0.7328125,1.83203125,204,2.73,74.72527473,0.382835186,78.09837785,1.045140056,20.79,1539479.95
2018,Mangkhut,Agutaya,Palawan,0,1.204427083,0.301106771,0.752766927,0,0,0,0.135974623,0,0,20.79,0
2018,Mangkhut,Ajuy,Iloilo,0,0.986979167,0.246744792,0.616861979,3128,3.15,993.015873,0.188506647,589.6487928,0.593795939,20.79,6603712.65
2018,Mangkhut,Akbar,Basilan,0,2.059722222,0.514930556,1.287326389,1,0,0,0.168513669,0.168513669,0,20.79,0
2018,Mangkhut,Al0Barka,Basilan,0,2.125,0.53125,1.328125,0,0,0,0.206041647,0,0,20.79,0
2018,Mangkhut,Alabat,Quezon,8.624044225,2.225694444,0.556423611,1.391059028,0,0,0,0.172565491,0,0,20.79,0
2018,Mangkhut,Alabel,Sarangani,0,0.182083333,0.045520833,0.113802083,662,2.71,244.2804428,0.215798048,142.8583079,0.584812711,20.79,1575722.86
2018,Mangkhut,Alamada,Cotabato,0,0.649431818,0.162357955,0.405894886,331,3.14,105.4140127,0.146744969,48.57258488,0.460779204,20.79,422125.53
2018,Mangkhut,Alaminos,Laguna,7.024226679,1.320833333,0.330208333,0.825520833,24,3.76,6.382978723,0.166312603,3.991502466,0.625335386,20.79,47076.8
2018,Mangkhut,Alangalang,Leyte,0,1.37875,0.3446875,0.86171875,6606,3.79,1743.007916,0.162202452,1071.509399,0.614747293,20.79,12423676.69
2018,Mangkhut,Albuera,Leyte,0,1.1578125,0.289453125,0.723632813,723,3.82,189.2670157,0.078649187,56.86336188,0.300439893,20.79,322216.42
2018,Mangkhut,Alburquerque,Bohol,0,0.60625,0.1515625,0.37890625,24,2.14,11.21495327,0.171068823,4.105651761,0.366087282,20.79,28348.12
2018,Mangkhut,Alcala,Pangasinan,9.492019706,3.029166667,0.757291667,1.893229167,2540,4.69,541.5778252,0.182207999,462.8083176,0.854555516,20.79,7459315.35
